location,job_count,company_count,category_count,avg_company_rating,avg_skills_per_job,remote_jobs,avg_sentiment,job_type_diversity,remote_job_percentage
Bengaluru,286,192,4,2.8877622377622374,9.115384615384615,1.0,0.0,8,0.3
Hyderabad,19,19,4,3.5315789473684216,8.947368421052632,0.0,0.0,7,0.0
Mumbai,18,18,4,2.6500000000000004,8.666666666666666,0.0,0.0,6,0.0
Remote,14,12,4,2.257142857142857,9.0,3.0,0.0,8,21.4
Pune,12,11,4,2.941666666666667,9.166666666666666,0.0,0.0,6,0.0
Gurugram,11,11,4,3.390909090909091,8.454545454545455,0.0,0.0,4,0.0
Chennai,10,10,4,3.2299999999999995,8.4,0.0,0.0,5,0.0
Delhi,8,7,3,1.7874999999999999,9.0,0.0,0.0,4,0.0
Noida,8,8,4,1.9,9.0,0.0,0.0,5,0.0
Kolkata,5,5,3,2.8200000000000003,9.0,0.0,0.0,4,0.0
Nagpur,3,3,2,3.1,9.666666666666666,0.0,0.0,3,0.0
